2023-08-17 00:09:24 ERROR Utilities:74 - [TestID:TC_02_03][TestResult name=TC_02_03 status=FAILURE method=Login.TC_02_03()[pri:0, instance:TestSuite.Login@682b2fa] output={null}]
2023-08-17 00:09:30 ERROR Utilities:74 - [TestID:TC_02_04][TestResult name=TC_02_04 status=FAILURE method=Login.TC_02_04()[pri:0, instance:TestSuite.Login@682b2fa] output={null}]
2023-08-17 00:10:01 ERROR Utilities:74 - [TestID:TC_02_06][TestResult name=TC_02_06 status=FAILURE method=Login.TC_02_06()[pri:0, instance:TestSuite.Login@682b2fa] output={null}]
2023-08-17 00:10:25 ERROR Utilities:74 - [TestID:TC_02_07][TestResult name=TC_02_07 status=FAILURE method=Login.TC_02_07()[pri:0, instance:TestSuite.Login@682b2fa] output={null}]
2023-08-17 00:10:48 ERROR Utilities:74 - [TestID:TC_02_08][TestResult name=TC_02_08 status=FAILURE method=Login.TC_02_08()[pri:0, instance:TestSuite.Login@682b2fa] output={null}]
2023-08-17 00:11:12 ERROR Utilities:74 - [TestID:TC_02_09][TestResult name=TC_02_09 status=FAILURE method=Login.TC_02_09()[pri:0, instance:TestSuite.Login@682b2fa] output={null}]
2023-08-17 00:11:35 ERROR Utilities:74 - [TestID:TC_02_10][TestResult name=TC_02_10 status=FAILURE method=Login.TC_02_10()[pri:0, instance:TestSuite.Login@682b2fa] output={null}]
2023-08-17 00:11:58 ERROR Utilities:74 - [TestID:TC_02_11][TestResult name=TC_02_11 status=FAILURE method=Login.TC_02_11()[pri:0, instance:TestSuite.Login@682b2fa] output={null}]
2023-08-17 00:12:21 ERROR Utilities:74 - [TestID:TC_02_12][TestResult name=TC_02_12 status=FAILURE method=Login.TC_02_12()[pri:0, instance:TestSuite.Login@682b2fa] output={null}]
2023-08-17 00:12:45 ERROR Utilities:74 - [TestID:TC_02_13][TestResult name=TC_02_13 status=FAILURE method=Login.TC_02_13()[pri:0, instance:TestSuite.Login@682b2fa] output={null}]
2023-08-17 00:13:00 ERROR Utilities:74 - [TestID:TC_02_15][TestResult name=TC_02_15 status=FAILURE method=Login.TC_02_15()[pri:0, instance:TestSuite.Login@682b2fa] output={null}]
2023-08-17 00:13:06 ERROR Utilities:74 - [TestID:TC_02_16][TestResult name=TC_02_16 status=FAILURE method=Login.TC_02_16()[pri:0, instance:TestSuite.Login@682b2fa] output={null}]
2023-08-17 00:13:35 ERROR Utilities:74 - [TestID:TC_02_19][TestResult name=TC_02_19 status=FAILURE method=Login.TC_02_19()[pri:0, instance:TestSuite.Login@682b2fa] output={null}]
