2023-08-20 00:57:11 ERROR Utilities:73 - [TestID:TC_09_10][TestResult name=TC_09_10 status=FAILURE method=OrderProductWithoutLogin.TC_09_10()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
2023-08-20 00:57:26 ERROR Utilities:73 - [TestID:TC_09_11][TestResult name=TC_09_11 status=FAILURE method=OrderProductWithoutLogin.TC_09_11()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
2023-08-20 00:57:40 ERROR Utilities:73 - [TestID:TC_09_12][TestResult name=TC_09_12 status=FAILURE method=OrderProductWithoutLogin.TC_09_12()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
2023-08-20 00:57:54 ERROR Utilities:73 - [TestID:TC_09_13][TestResult name=TC_09_13 status=FAILURE method=OrderProductWithoutLogin.TC_09_13()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
2023-08-20 00:58:08 ERROR Utilities:73 - [TestID:TC_09_14][TestResult name=TC_09_14 status=FAILURE method=OrderProductWithoutLogin.TC_09_14()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
2023-08-20 00:58:37 ERROR Utilities:73 - [TestID:TC_09_16][TestResult name=TC_09_16 status=FAILURE method=OrderProductWithoutLogin.TC_09_16()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
2023-08-20 00:58:52 ERROR Utilities:73 - [TestID:TC_09_17][TestResult name=TC_09_17 status=FAILURE method=OrderProductWithoutLogin.TC_09_17()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
2023-08-20 00:59:49 ERROR Utilities:73 - [TestID:TC_09_21][TestResult name=TC_09_21 status=FAILURE method=OrderProductWithoutLogin.TC_09_21()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
2023-08-20 01:00:03 ERROR Utilities:73 - [TestID:TC_09_22][TestResult name=TC_09_22 status=FAILURE method=OrderProductWithoutLogin.TC_09_22()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
2023-08-20 01:00:18 ERROR Utilities:73 - [TestID:TC_09_23][TestResult name=TC_09_23 status=FAILURE method=OrderProductWithoutLogin.TC_09_23()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
2023-08-20 01:00:32 ERROR Utilities:73 - [TestID:TC_09_24][TestResult name=TC_09_24 status=FAILURE method=OrderProductWithoutLogin.TC_09_24()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
2023-08-20 01:00:47 ERROR Utilities:73 - [TestID:TC_09_25][TestResult name=TC_09_25 status=FAILURE method=OrderProductWithoutLogin.TC_09_25()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
2023-08-20 01:01:31 ERROR Utilities:73 - [TestID:TC_09_28][TestResult name=TC_09_28 status=FAILURE method=OrderProductWithoutLogin.TC_09_28()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
2023-08-20 01:01:45 ERROR Utilities:73 - [TestID:TC_09_29][TestResult name=TC_09_29 status=FAILURE method=OrderProductWithoutLogin.TC_09_29()[pri:0, instance:TestSuite.OrderProductWithoutLogin@9d5509a] output={null}]
