2023-08-16 23:38:37 ERROR Utilities:74 - [TestID:TC_01_02][TestResult name=TC_01_02 status=FAILURE method=Register.TC_01_02()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:38:58 ERROR Utilities:74 - [TestID:TC_01_03][TestResult name=TC_01_03 status=FAILURE method=Register.TC_01_03()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:39:17 ERROR Utilities:74 - [TestID:TC_01_05][TestResult name=TC_01_05 status=FAILURE method=Register.TC_01_05()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:39:23 ERROR Utilities:74 - [TestID:TC_01_06][TestResult name=TC_01_06 status=FAILURE method=Register.TC_01_06()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:39:30 ERROR Utilities:74 - [TestID:TC_01_07][TestResult name=TC_01_07 status=FAILURE method=Register.TC_01_07()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:39:37 ERROR Utilities:74 - [TestID:TC_01_08][TestResult name=TC_01_08 status=FAILURE method=Register.TC_01_08()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:39:44 ERROR Utilities:74 - [TestID:TC_01_09][TestResult name=TC_01_09 status=FAILURE method=Register.TC_01_09()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:39:50 ERROR Utilities:74 - [TestID:TC_01_10][TestResult name=TC_01_10 status=FAILURE method=Register.TC_01_10()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:39:57 ERROR Utilities:74 - [TestID:TC_01_11][TestResult name=TC_01_11 status=FAILURE method=Register.TC_01_11()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:40:03 ERROR Utilities:74 - [TestID:TC_01_12][TestResult name=TC_01_12 status=FAILURE method=Register.TC_01_12()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:40:37 ERROR Utilities:74 - [TestID:TC_01_15][TestResult name=TC_01_15 status=FAILURE method=Register.TC_01_15()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:40:59 ERROR Utilities:74 - [TestID:TC_01_16][TestResult name=TC_01_16 status=FAILURE method=Register.TC_01_16()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:41:33 ERROR Utilities:74 - [TestID:TC_01_18][TestResult name=TC_01_18 status=FAILURE method=Register.TC_01_18()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:41:57 ERROR Utilities:74 - [TestID:TC_01_19][TestResult name=TC_01_19 status=FAILURE method=Register.TC_01_19()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:42:21 ERROR Utilities:74 - [TestID:TC_01_20][TestResult name=TC_01_20 status=FAILURE method=Register.TC_01_20()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:42:42 ERROR Utilities:74 - [TestID:TC_01_21][TestResult name=TC_01_21 status=FAILURE method=Register.TC_01_21()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:43:03 ERROR Utilities:74 - [TestID:TC_01_22][TestResult name=TC_01_22 status=FAILURE method=Register.TC_01_22()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:43:49 ERROR Utilities:74 - [TestID:TC_01_25][TestResult name=TC_01_25 status=FAILURE method=Register.TC_01_25()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
2023-08-16 23:44:37 ERROR Utilities:74 - [TestID:TC_01_28][TestResult name=TC_01_28 status=FAILURE method=Register.TC_01_28()[pri:0, instance:TestSuite.Register@477b4cdf] output={null}]
